,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
0,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,8.0,-1.0,1.0,9.0,0.0,2.0
1,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
2,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
3,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
4,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
5,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
6,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
7,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
8,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
9,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
10,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
11,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
12,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
13,-4.0,-8.0,2.0,8.0,3.0,2.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
14,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
15,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
16,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
17,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
18,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
19,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
20,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
21,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
22,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
23,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
24,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
25,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
26,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
27,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
28,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
29,-4.0,-8.0,2.0,8.0,3.0,1.0,9.0,2.0,17.0,14.0,4.0,-1.0,-9.0,7.0,-1.0,1.0,9.0,0.0,2.0
