,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
0,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
1,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
2,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
3,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
4,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
5,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
6,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
7,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
8,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
9,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
10,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
11,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
12,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
13,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
14,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
15,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
16,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
17,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
18,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
19,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
20,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
21,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
22,0.0,-6.0,0.0,1.0,-1.0,7.0,16.0,2.0,3.0,3.0,2.0,1.0,3.0,9.0,-6.0,-1.0,4.0,6.0,-1.0
